AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023
9,18,17,16,25,15,28,31,68,48,5,2,3,4,9,5,8,0,12,2
9,15,13,14,11,11,24,41,33,37,12,10,10,17,35,11,8,11,30,16
9,13,10,12,12,23,21,15,42,38,7,12,6,9,35,9,16,9,21,9
39,32,14,35,34,36,49,70,141,148,10,20,12,8,12,11,13,5,10,7
18,16,9,21,10,29,17,36,68,88,12,16,14,8,7,7,12,6,6,9
11,14,15,9,9,12,10,17,31,62,10,2,1,2,2,3,2,4,4,3
8,15,13,9,19,9,29,22,31,50,32,6,1,3,5,9,1,1,1,1
28,24,30,29,27,41,51,66,89,120,5,2,4,4,2,3,4,0,0,2
21,19,24,19,21,28,20,23,61,115,3,4,3,3,6,5,2,5,1,2
26,23,28,18,18,23,37,30,76,115,3,11,5,11,3,1,4,6,2,2
27,26,17,25,15,19,23,20,29,25,3,3,1,1,3,1,1,3,4,1
45,35,49,43,53,43,70,60,106,105,2,11,2,3,3,2,1,6,5,3
57,50,42,36,55,40,60,82,121,112,0,6,2,4,5,5,5,3,5,1
7,19,16,12,33,28,42,51,59,40,1,4,2,3,2,1,2,0,2,6
13,9,22,23,57,52,40,40,55,74,0,1,2,2,1,1,1,2,1,1
10,15,15,23,44,52,43,44,55,48,2,5,3,0,0,0,0,1,0,5
62,58,43,50,77,87,87,77,118,152,7,5,13,9,3,5,10,6,8,11
309,266,323,329,506,486,407,496,775,829,4,18,18,10,9,7,5,12,6,10
42,45,50,33,54,72,80,65,70,83,9,9,4,2,10,7,2,7,3,5
36,34,47,58,57,70,76,61,107,122,2,5,3,3,2,1,4,2,1,2
69,41,63,83,108,134,110,134,174,131,7,3,6,3,2,7,1,2,2,4
3520,3182,3245,3488,4658,5120,5603,6429,9430,11728,3012,3284,3781,3843,3952,3696,3888,3146,2925,3000
